Time;Task-ID;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
963301;Task-212;POLICY3_CLOUD;TASK_CONCLUDED;127020;2994716;9171;745499;2648323
964481;Task-293;POLICY3_CLOUD;TASK_CONCLUDED;113004;2664280;8159;663241;2356108
966800;Task-446;POLICY3_CLOUD;TASK_CONCLUDED;88037;2075658;6356;516710;1835570
968236;Task-310;POLICY3_CLOUD;TASK_CONCLUDED;111143;2620398;8024;652317;2317301
969998;Task-475;POLICY3_CLOUD;TASK_CONCLUDED;83755;1974695;6047;491577;1746285
971213;Task-321;POLICY3_CLOUD;TASK_CONCLUDED;110690;2609707;7992;649656;2307847
972135;Task-305;POLICY3_CLOUD;TASK_CONCLUDED;112457;2651383;8119;660030;2344702
973010;Task-496;POLICY3_CLOUD;TASK_CONCLUDED;80447;1896707;5808;472162;1677317
973609;Task-137;POLICY3_CLOUD;TASK_CONCLUDED;140764;3318730;10163;826159;2934859
974230;Task-164;POLICY3_CLOUD;TASK_CONCLUDED;136663;3222057;9867;802093;2849368
974314;Task-313;POLICY3_CLOUD;TASK_CONCLUDED;111950;2639412;8083;657050;2334116
974886;Task-383;POLICY3_CLOUD;TASK_CONCLUDED;99787;2352673;7204;585670;2080543
975180;Task-221;POLICY3_CLOUD;TASK_CONCLUDED;128189;3022276;9255;752360;2672695
978640;Task-158;POLICY3_CLOUD;TASK_CONCLUDED;138759;3271472;10018;814394;2893068
979406;Task-229;POLICY3_CLOUD;TASK_CANCELED;159654;2990677;6575;744494;2670479
981277;Task-275;POLICY3_CLOUD;TASK_CONCLUDED;119317;2813103;8614;700289;2487717
981941;Task-454;POLICY3_CLOUD;TASK_CONCLUDED;89665;2114034;6474;526264;1869508
